Timestamp,EAR,MAR,Alert
2025-09-14 19:28:48.108240,0.154,1.264,Drowsiness
2025-09-14 19:28:48.623868,0.154,1.264,Yawning
2025-09-14 19:28:49.159053,0.277,1.119,Yawning
2025-09-14 19:28:49.690656,0.273,1.169,Yawning
2025-09-14 19:28:50.224782,0.265,1.264,Yawning
2025-09-14 19:28:50.745056,0.244,1.225,Yawning
2025-09-14 19:28:51.262282,0.230,1.200,Yawning
2025-09-14 19:28:51.784392,0.195,1.235,Yawning
2025-09-14 19:28:52.304284,0.247,1.226,Yawning
2025-09-14 19:28:52.850484,0.268,1.167,Yawning
2025-09-14 19:28:53.394244,0.277,1.267,Yawning
2025-09-14 19:28:53.926617,0.265,1.264,Yawning
2025-09-14 19:28:54.461057,0.238,1.227,Yawning
2025-09-14 19:28:54.979696,0.137,1.390,Yawning
2025-09-14 19:28:55.500592,0.278,1.264,Yawning
2025-09-14 19:28:56.018384,0.179,1.096,Yawning
